rule_name,description,formula,table_scope,stock_code,stock_abbr,report_period,report_year,actual_value,expected_value,difference,status
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2022FY,2022,197441.863197,197441.863197,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2023Q1,2023,202015.42828,202015.42828,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2023H1,2023,193919.795194,193919.79519399998,2.9103830456733704e-11,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2023Q3,2023,205883.10419,205883.10419,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2023FY,2023,210855.114195,210855.11419500003,2.9103830456733704e-11,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2024Q1,2024,181501.320477,181501.32047700003,2.9103830456733704e-11,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2024H1,2024,178790.484464,178790.484464,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2024Q3,2024,185977.965133,185977.96513300002,2.9103830456733704e-11,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2025Q1,2025,199184.514512,199184.514512,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2024FY,2024,197207.11639100002,197207.116391,2.9103830456733704e-11,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2025H1,2025,192962.095656,192962.095656,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600080,金花股份,2025Q3,2025,195675.16216500002,195675.16216500002,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600085,同仁堂,2022FY,2022,2704449.18895,2704449.18895,0.0,pass
balance_equation,校验资产总计是否与负债合计和所有者权益合计闭合。,A=L+E,balance_sheet,600085,同仁堂,2023Q1,2023,2791433.758153,2791433.7581530004,4.656612873077393e-10,pass
