serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600080,金花股份,27437.055876,231.18320113137486,5257.899355,19.163496910028307,59862.94970700001,22986.826417,83.78022234195781,3083.393767,5000.0,0.0,5000.0,-807.669896,-2.9437192519861166,2022FY,2022
3,600080,金花股份,9934.29562,31.530936796134107,-3876.0097979999996,-39.01645316651045,11141.675612000001,3936.608957,39.62645272076169,438.92583499999995,4385.03769,9900.0,0.0,9873.696461,99.39000044574875,2023Q1,2023
5,600080,金花股份,3793.823913,-21.55702938092927,-3584.4088450000004,-94.48010575075945,26076.045174000003,7788.405105,205.29168679421522,833.3043150000001,5811.101323,9900.0,9900.0,-555.449053,-14.640875953590946,2023H1,2023
8,600080,金花股份,690.21703,-87.37998977455167,-1194.931466,-173.12401955657336,40935.379393,-4851.472524,-702.8908753526409,1617.430314,5811.101323,17540.539044,9900.0,6736.6210200000005,976.0148949092143,2023Q3,2023
9,600080,金花股份,18709.40865,-31.809707519072145,6054.842538,32.36255432370386,57651.814848,13776.085637999999,73.63186028864679,6911.799158,13989.0,17540.539044,17540.539044,-1121.519526,-5.994414612350669,2023FY,2023
12,600080,金花股份,-25674.181356999998,-358.4398767569592,-4921.284823,19.168224897103585,12058.880353,-10078.275169,39.25451420966996,6384.577125,4385.03769,20652.268902,18535.309668,-10674.621365,41.57726089322647,2024Q1,2024
13,600080,金花股份,-31716.648392000003,-936.0073930505589,-2309.937207,7.283043209517192,27037.580699000002,-17797.798507,56.11500397844432,12009.143970000001,0.0,29823.485644999997,25568.042868,-11608.912678,36.601952812038476,2024H1,2024
16,600080,金花股份,-36311.50987,,-75.866364,0.20893200054641517,41534.546726,-24629.118828,67.8273057666164,18988.883531,0.0,29823.485644999997,25568.042868,-11606.524678,31.963762232837162,2024Q3,2024
17,600080,金花股份,-21946.994451,14.5172570613777,-12136.852052,55.30074780443112,9777.890416,-13257.469895999999,60.40676743049859,5285.115956000001,0.0,13630.792394,9139.509939,3447.3274969999998,-15.707515234929694,2025Q1,2025
19,600080,金花股份,-28181.218928,-250.6259201196078,1085.87252,-3.853177972089455,58578.828505,-19230.359387,68.23821012189542,22086.047946000002,13989.0,97152.56170800001,93701.118831,-10036.732061,35.61496785019405,2024FY,2024
22,600080,金花股份,-19918.764301,37.19776423153155,-8284.686687000001,41.5923727085022,22712.56221,-9293.517303,46.65709761189066,10770.463704,0.0,15215.877584,15215.877584,-2531.904099,12.711150454613735,2025H1,2025
23,600080,金花股份,-10245.321095000001,71.78492127790996,-5772.128863,56.3391699437996,38132.204904000006,-5310.375427,51.83220103849756,12437.407915,0.0,79713.333677,76934.47583,837.1831950000001,-8.171370982297162,2025Q3,2025
26,600085,同仁堂,173540.280971,5.158561264513303,309429.628427,178.30421081242127,1715747.806391,-21139.357965,-12.181239909674089,33002.868033,0.0,172640.0,178235.196988,-131022.92284300001,-75.50000617141734,2022FY,2022
27,600085,同仁堂,94680.264332,21.229547353185062,114542.79381300001,120.97853192651773,568588.95063,-678.916745,-0.7170625787644108,5041.881197,0.0,31980.0,1000.0,-15311.782608000001,-16.172095331619104,2023Q1,2023
29,600085,同仁堂,193138.12475,28.631096158567278,236677.589808,122.54317479490801,1065095.1033309998,-4354.2979270000005,-2.254499432795182,13336.895543999999,0.0,23000.0,23902.072156000002,-47261.013597000005,-24.470059268813525,2023H1,2023
31,600085,同仁堂,119371.69275599999,-14.088226812031898,239434.19961500002,200.57870847522628,1488062.371528,-8307.110166,-6.959028538683816,18789.263105,0.0,23000.0,24102.115539,-117384.244179,-98.33507548471948,2023Q3,2023
33,600085,同仁堂,39472.741010000005,-77.25442140052994,186949.185111,473.6159190557311,2087311.8747599998,7956.51374,20.15698311395274,32451.481554,0.0,36860.0,32519.708079000004,-142987.816177,-362.244456600507,2023FY,2023
36,600085,同仁堂,28788.078661000003,-69.5944251274442,-25176.622142,-87.45502761220206,514643.23906899994,-9752.232269,-33.87594005087813,9894.256768000001,0.0,81000.0,375.0,64172.85356799999,222.91468049563417,2024Q1,2024
38,600085,同仁堂,-63166.17561900001,-132.70518221131275,59503.001326,-94.2007344008046,980827.5420049999,-18100.5604,28.655463501823053,21858.343385,0.0,84194.249897,6917.595641,-47706.902398,75.52602627987825,2024H1,2024
40,600085,同仁堂,-112856.405524,-194.5420165521842,-5254.79107,4.656174406407546,1401796.857536,-22341.974799,19.796815869923098,31402.572814999996,0.0,87764.024539,7292.595641,-84646.502092,75.00371972594778,2024Q3,2024
41,600085,同仁堂,-148046.038775,-475.05892670968575,76098.527275,-51.40193409068807,2000789.056955,-66211.71589600001,44.723733538476104,51955.143855,2669.422418,137684.218669,48573.937992,-161005.813309,108.75388132045616,2024FY,2024
43,600085,同仁堂,58697.812203999994,103.89624780176638,83258.069858,141.84186212706297,496250.541434,-4826.407846,-8.22246633183903,7449.723473,,114600.0,118990.9276,-19211.864184000002,-32.730119680151894,2025Q1,2025
45,600085,同仁堂,32557.665618,151.54287923710686,195313.58696400002,599.900463551717,997721.5574350001,-28305.742188,-86.94033079678397,14351.487147,,114400.0,124964.24099,-132431.905253,-406.76105838430567,2025H1,2025
48,600085,同仁堂,-601.541819,99.46698477928035,198786.343281,-33046.13860620054,1368626.949015,-40241.245616,6689.6838000218895,24606.110682,146.520511,131100.0,136860.9276,-156939.845894,26089.598584333835,2025Q3,2025
50,600129,太极集团,103957.884487,359.04895342210096,180076.893271,173.2210059483451,1403281.303264,-34874.806645,-33.5470530370028,53012.981932,6719.225759999999,353439.00392,354303.0,-41243.888093,-39.67365082170134,2022FY,2022
51,600129,太极集团,-61803.41386,-390.5622244864413,-16757.090105000003,27.11353476841741,358922.1222,-16216.342881999999,26.23858759442322,18312.67135,2361.482401,25979.744405,50948.711,-28829.219736000003,46.64664609192189,2023Q1,2023
53,600129,太极集团,-97968.22509400001,-606.1911404863588,-42854.64245,43.743410079014076,757262.52415,-26027.707491999998,26.567499275429913,29046.585444,2381.353072,213608.134405,214565.8878,-29084.383372000004,29.687567927349594,2023H1,2023
55,600129,太极集团,-120765.98288599998,-347.55699762109214,-47643.296178,39.45092404288553,1097430.372725,-37484.349553,31.03883118177763,49760.018181,4909.469024,279730.134405,278826.8878,-35636.353923,29.508602564548177,2023Q3,2023
57,600129,太极集团,-31971.199469,-130.8389321603035,67153.661517,-210.04423553803076,1526215.191701,-62707.517463,196.1375190937163,83558.97696100001,4909.469024,406285.134405,397360.2,-36361.094755,113.73078069922444,2023FY,2023
59,600129,太极集团,-45322.481455,26.666702331902542,-16687.662052,36.81983315182979,318527.15094699996,-20356.836835,44.915539002894164,20526.052571,0.0,19000.0,22500.0,-8333.861613,18.38791995816593,2024Q1,2024
61,600129,太极集团,-87414.39234199999,10.77270996986387,-35724.432897000006,40.86790737757664,659437.60398,-36104.039249,41.302168077479266,36459.083185,0.0,220154.0,208604.0,-15640.52055,17.892386060190226,2024H1,2024
63,600129,太极集团,-108722.15248599999,9.972866623682483,-69034.364789,63.49613506584085,895411.715851,-60558.25924400001,55.70001867999993,61443.216264999995,4909.469024,332353.71431999997,279167.453325,20815.658148,-19.145737710334977,2024Q3,2024
