table_name,source_name,report_type,page_number,source_method,warning_text,stock_code,stock_abbr,report_year,report_period,total_operating_revenue,operating_revenue_yoy_growth,net_profit_10k_yuan,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,eps,roe,serial_number,net_profit_yoy_growth,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,net_asset_per_share,operating_cf_per_share,asset_cash_and_cash_equivalents,asset_trading_financial_assets,asset_accounts_receivable,asset_inventory,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_short_term_loans,liability_accounts_payable,liability_advance_from_customers,liability_contract_liabilities,liability_total_liabilities,liability_total_liabilities_yoy_growth,equity_unappropriated_profit,equity_total_equity,asset_liability_ratio,total_operating_expenses,operating_expense_cost_of_sales,operating_expense_taxes_and_surcharges,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_rnd_expenses,operating_expense_financial_expenses,other_income,credit_impairment_loss,asset_impairment_loss,operating_profit,total_profit,net_profit,operating_cf_cash_from_sales,operating_cf_net_amount,investing_cf_cash_from_investment_recovery,investing_cf_cash_for_investments,investing_cf_net_amount,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_ratio_of_net_cf,investing_cf_ratio_of_net_cf,financing_cf_ratio_of_net_cf,operating_revenue_qoq_growth,net_profit_qoq_growth
core_performance_indicators_sheet,600080_20230428_MMWM.pdf;600080_20230428_FQ2V.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2022,2022FY,57937.450121,8.49,3345.950516,381.29578100000003,-89.37,0.0896,2.0,3,284.2437894106791,76.18639435082915,5.775108343587988,0.2264542226149245,4.508894487397614,0.14079938718615526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balance_sheet,600080_20230428_MMWM.pdf,全文,73,pdfplumber.combined_pages,,600080,金花股份,2022,2022FY,,,,,,,,1,,,,,,,43449.462222,14514.049890999999,12262.102169,2515.061956,19728.442047999997,197441.863197,5.573266127301789,0.0,1570.2536949999999,33.709932,661.0514410000001,29065.324841,81.37540490824178,48093.579652,168376.538356,14.720953484925193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20230428_MMWM.pdf,全文,77,pdfplumber.combined_pages,,600080,金花股份,2022,2022FY,57937.450121,8.489681918623178,,,,,,1,284.2437894106791,,,,,,,,,,,,,,,,,,,,,,57156.302394000006,13796.995894999998,940.128883,34494.78959,3819.5799020000004,1549.315113,-296.307766,156.87956200000002,-954.087839,-2273.272441,1829.438266,4905.154102,3345.950516,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20230428_MMWM.pdf,全文,80,pdfplumber.combined_pages,,600080,金花股份,2022,2022FY,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59862.94970700001,5257.899355,5000.0,3083.393767,22986.826417,0.0,5000.0,-807.669896,27437.055876,231.18320113137486,19.163496910028307,83.78022234195781,-2.9437192519861166,,
balance_sheet,600080_20230428_PCK7.pdf,全文,4,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q1,,,,,,,,3,,,,,,,53383.757842,10566.722096,10634.788632,2728.429325,19600.436816,202015.42828,2.316411022943328,9900.0,1833.68108,3.674951,230.581172,33170.796388,15.251896761523415,48561.673188,168844.631892,16.419932215288128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income_sheet,600080_20230428_PCK7.pdf,全文,7,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q1,10825.951244,-9.178140328281485,,,,,,4,-49.55965998780217,,,,,,,,,,,,,,,,,,,,,,11171.397159999999,2871.278318,212.734244,6191.34557,1770.8438350000001,208.917564,-83.722371,0.795,49.531121999999996,497.69761100000005,497.69761100000005,490.645995,468.09353600000003,,,,,,,,,,,,,,,
cash_flow_sheet,600080_20230428_PCK7.pdf,全文,9,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11141.675612000001,-3876.0097979999996,4385.03769,438.92583499999995,3936.608957,9900.0,0.0,9873.696461,9934.29562,31.530936796134107,-39.01645316651045,39.62645272076169,99.39000044574875,,
core_performance_indicators_sheet,600080_20230428_PCK7.pdf,全文,1,pdfplumber.combined_pages,,600080,金花股份,2023,2023Q1,10825.951244,-9.178140328281485,468.09353600000003,235.04276299999998,,0.0125,0.2776,5,-49.55965998780217,73.47781960877265,4.3238097553730315,0.13920653583487513,4.508837948682975,-0.10350521583575124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_performance_indicators_sheet,600080_20230819_U8CH.pdf;600080_20230819_DNUE.pdf,全文,6,pdfplumber.combined_pages,,600080,金花股份,2023,2023H1,25536.954371,-1.29,304.2638,1741.222202,-13.34,0.0082,0.18,9,-85.83,76.05489806590218,1.1914647125873585,1.0322584917050408,4.5459986179703264,-0.09660088557692371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.88647127108751,-134.9993587606388
balance_sheet,600080_20230819_U8CH.pdf,全文,33,pdfplumber.combined_pages,,600080,金花股份,2023,2023H1,,,,,,,,5,,,,,,,47545.28723,6994.99,11413.954899,2562.321276,20107.183361000003,193919.795194,-1.783850671772585,0.0,1318.017571,33.709932,433.519746,25238.964182,-20.389010998116262,48397.872308,168680.83101199998,13.015156166367955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
