serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
3,600080,金花股份,0.0896,57937.450121,8.49,,3345.950516,284.2437894106791,,4.508894487397614,2.0,0.14079938718615526,381.29578100000003,-89.37,76.18639435082915,5.775108343587988,0.2264542226149245,2022FY,2022
5,600080,金花股份,0.0125,10825.951244,-9.178140328281485,,468.09353600000003,-49.55965998780217,,4.508837948682975,0.2776,-0.10350521583575124,235.04276299999998,,73.47781960877265,4.3238097553730315,0.13920653583487513,2023Q1,2023
9,600080,金花股份,0.0082,25536.954371,-1.29,35.88647127108751,304.2638,-85.83,-134.9993587606388,4.5459986179703264,0.18,-0.09660088557692371,1741.222202,-13.34,76.05489806590218,1.1914647125873585,1.0322584917050408,2023H1,2023
11,600080,金花股份,0.0091,40280.503175,-4.81,0.22123356727635513,339.02983,-89.35,121.22083014282583,4.5285452701380295,0.02,-0.03207350910862328,2001.6164670000003,-36.94,76.93321936761033,0.8416722813195097,1.186384959122492,2023Q3,2023
12,600080,金花股份,-0.1149,56540.341011000004,-2.41,10.284423731066914,-4289.058025,-228.19,,4.389197037599066,-2.58,0.16220377611146913,300.47191499999997,-21.2,76.34396335282479,-7.585836852603273,0.1833905337424113,2023FY,2023
15,600080,金花股份,0.0648,11578.927068,6.955285563634125,-28.788176211919286,2396.242714,411.9153608649703,151.77608526621196,4.17040327577067,1.5068,-0.1330830364834236,423.949297,80.37113399658259,76.55820001231913,20.69485972169524,0.2749033719401599,2024Q1,2024
20,600080,金花股份,0.0261,24596.548281,-3.68,12.425107581651774,946.2893789999999,211.01,-160.50945200703904,4.132770285371871,0.6,-0.06371133655374146,1003.137973,-42.39,76.66144608414699,3.847244614119195,0.6694774388228065,2024H1,2024
23,600080,金花股份,0.084,41893.121976999995,4.0,32.87046391184617,3077.016528,807.59,246.95142923341047,4.148646218504811,1.35,-0.0020710888349183415,1736.871925,-13.23,77.98345271315944,7.344920556862132,1.1429068901230515,2024Q3,2024
25,600080,金花股份,0.0034,10732.261751,-7.31,-35.55380264933017,121.53058700000001,-94.93,-97.22793433731,4.366284099832415,0.0778,-0.33954659477453186,1067.46218,151.79,76.21644732283795,1.1323856035162034,0.6839649205653697,2025Q1,2025
26,600080,金花股份,0.2088,58546.178623,3.55,-3.720488585255535,7461.132987999999,271.60068700632695,105.75682165863269,4.364219338521835,4.79,0.030388170609029225,1377.488674,358.44,78.33994872037952,12.744013637585008,0.8832978648605956,2024FY,2024
