serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600080,金花股份,3345.950516,284.2437894106791,156.87956200000002,57937.450121,8.489681918623178,13796.995894999998,34494.78959,3819.5799020000004,-296.307766,1549.315113,940.128883,57156.302394000006,1829.438266,4905.154102,-2273.272441,-954.087839,2022FY,2022
4,600080,金花股份,468.09353600000003,-49.55965998780217,0.795,10825.951244,-9.178140328281485,2871.278318,6191.34557,1770.8438350000001,-83.722371,208.917564,212.734244,11171.397159999999,497.69761100000005,490.645995,497.69761100000005,49.531121999999996,2023Q1,2023
5,600080,金花股份,304.2638,-85.82896187541772,3.18119,25536.954371,-1.2947579232426152,6114.849754999999,14539.8983,2465.372142,-79.191243,523.333912,422.585174,25237.721380000003,2323.061353,506.584259,-882.835957,835.7663259999999,2023H1,2023
8,600080,金花股份,339.02983,-89.34854320780569,22.235042,40280.503175,-4.808064430837196,9291.415305,24088.989091,5162.776233,-157.366254,886.027209,686.4660769999999,39958.307661,2055.6716,193.603353,2055.6716,640.421178,2023Q3,2023
9,600080,金花股份,-4289.058025,-228.18653487223298,93.343972,56540.341011000004,-2.4114093856084313,13375.203790000001,33864.129273,5318.886890999999,-135.473581,1508.976504,783.090414,57089.503987000004,-3289.987634,-4105.4617259999995,-2273.272441,887.0796429999999,2023FY,2023
12,600080,金花股份,2396.242714,411.9153608649703,20.795,11578.927068,6.955285563634125,2714.308924,6521.833135,1366.810489,-68.630782,232.953304,139.719674,10906.994744,2827.019302,2790.534078,2827.019302,-759.892679,2024Q1,2024
14,600080,金花股份,946.2893789999999,211.00951838503295,94.235077,24596.548281,-3.6825303297245746,5740.478682,13893.003691,2306.169848,-100.252927,842.1920460000001,265.856052,23309.240127,959.851111,924.980958,959.851111,-772.755139,2024H1,2024
16,600080,金花股份,3077.016528,807.5946290625814,437.80190300000004,41893.121976999995,4.003472337457953,9223.41901,25071.748426,3648.108757,-158.955818,2028.303238,396.05873399999996,40208.682347,3285.41929,3245.72417,1.467784,-843.667525,2024Q3,2024
18,600080,金花股份,121.53058700000001,-94.93579931235631,49.951376,10732.261751,-7.312122375654995,2552.513127,5361.153918999999,901.143477,-137.455577,1169.1377109999999,105.16796799999999,9951.660625,68.676156,63.094877000000004,1.7935990000000002,0.766221,2025Q1,2025
19,600080,金花股份,7461.132987999999,271.60068700632695,872.060901,58546.178623,3.5476220626433035,12681.132312,35054.473074,5191.338666,131.47107,2643.590902,536.924618,56987.338228,4901.905634000001,4203.928014,-26.010928,-998.478832,2024FY,2024
22,600080,金花股份,619.501143,-34.65811106815772,70.56346500000001,24129.296366,-1.8996645775738257,5649.637739,13705.073647,2064.110013,-229.33447,1540.036319,267.030579,23184.833834999998,535.7840769999999,532.451361,17.193207,-771.30137,2025H1,2025
24,600080,金花股份,3448.124386,11.268158323002675,-274.389556,38390.836363,-8.360049212667427,9002.093645,22422.031459,3382.889561,-339.011837,2233.099127,441.49887,37142.600825,3477.8953149999998,3533.5900020000004,25.843259,746.195701,2025Q3,2025
25,600085,同仁堂,142581.17053099998,16.32308054515824,9154.804142,1537242.336317,5.26821417655706,787013.2037300001,307145.221852,134217.301528,-463.05925099999996,21744.626351,16733.540027000003,1266390.834237,272143.808417,271693.788683,-8733.65308,557.63778,2022FY,2022
28,600085,同仁堂,52335.560608,46.222126532025804,978.063384,514306.972663,30.082486285669034,275174.555865,93415.394948,39494.765462999996,-1986.6280629999999,4519.402347,4406.015874000001,415023.50643400004,99584.350223,99414.108124,-139.297483,-489.302587,2023Q1,2023
29,600085,同仁堂,98652.628949,43.10864550767853,1851.295929,976069.624505,30.021068034118905,526096.383676,26894.778593,9821.291344,-3269.885546,3178.811876,3482.952565,788678.0862,186785.477443,186401.064965,-3572.976271,1266.215884,2023H1,2023
32,600085,同仁堂,139069.228932,48.910684919072054,2558.230381,1372138.001626,25.880995709756093,737052.333901,243762.43332600003,108499.06184000001,-7704.801229000001,15040.435159999999,12526.997532,1109176.4605299998,259761.823588,259622.23196399998,-5999.6764729999995,656.287466,2023Q3,2023
33,600085,同仁堂,166883.450963,17.202140952417633,5685.947414,1786089.145613,16.187871190966504,941407.0490870001,51714.548548,18365.91241,-8899.982631,9423.096263,6493.624253,1471171.128067,308416.133703,308065.385739,-10815.909728,-1019.9386900000001,2023FY,2023
36,600085,同仁堂,57587.75775800001,4.005189724451038,3113.11629,526728.9154729999,2.41527793132593,300595.703508,84016.72315800001,35992.746351999995,-1043.149885,4157.995241,4139.094643,427859.113017,102918.011063,102864.289714,-139.297483,-380.279588,2024Q1,2024
37,600085,同仁堂,102096.605546,-2.781180544065443,6965.570984,976298.244854,0.023422545201735305,547749.31801,21883.513119,9078.779459000001,-1327.60142,3964.4567030000003,2706.0845289999997,798607.6423399999,187345.461069,187349.51179400002,-4089.877418,-41.206210999999996,2024H1,2024
40,600085,同仁堂,135005.938669,-8.72651502297334,8176.471306,1381970.9536209998,0.7166153829532897,778035.933492,240811.363387,106326.145901,-978.937797,13908.530433000002,10318.099604,1148421.1350200002,241749.63650599998,241865.593754,-6291.958968,-712.681149,2024Q3,2024
41,600085,同仁堂,152627.492598,-11.725176490750895,10567.82888,1859728.160493,4.122919343688549,1042112.1147370001,63153.920680999996,18307.692428,-3973.3581329999997,11173.506878,5549.292039,1592359.932357,279857.67928000004,280538.31024699996,-6277.345136,-620.188542,2024FY,2024
44,600085,同仁堂,58220.717028,-2.508766044152099,2212.590928,527567.631868,0.15923112826394753,287458.55394899996,102420.97217200001,36715.784961000005,-4727.412242,3646.5442009999997,4357.047855,429871.490896,99687.50852100001,99609.911284,,-223.55752999999999,2025Q1,2025
45,600085,同仁堂,94549.888063,-11.868476341714238,3819.2100130000003,976889.809275,0.06059259290058688,544269.791463,42411.20427,11000.90992,-5558.878106,3763.901879,3224.438175,813225.7969300001,161387.324902,161257.398763,-4839.786842,-2170.9464329999996,2025H1,2025
48,600085,同仁堂,117755.58453,-19.696158827992598,5636.195337,1330791.480027,-3.7033682553096288,747080.1785050001,261217.05392600002,102568.940486,-4452.968808,14292.983387,11123.762655,1131829.950151,196290.88385699998,195914.603993,-7252.590091,-2818.118292,2025Q3,2025
