exchange,source_name,source_path,stock_code,stock_abbr,report_date,report_year,report_period,report_type
SSE,600080_20230428_FQ2V.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20230428_FQ2V.pdf,600080,金花股份,20230428,2022,年度,摘要
SSE,600080_20230428_MMWM.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20230428_MMWM.pdf,600080,金花股份,20230428,2022,年度,全文
SSE,600080_20230428_PCK7.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20230428_PCK7.pdf,600080,金花股份,20230428,2023,第一季度,全文
SSE,600080_20230819_DNUE.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20230819_DNUE.pdf,600080,金花股份,20230819,2023,半年度,摘要
SSE,600080_20230819_U8CH.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20230819_U8CH.pdf,600080,金花股份,20230819,2023,半年度,全文
SSE,600080_20231028_F42E.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20231028_F42E.pdf,600080,金花股份,20231028,2023,第三季度,全文
SSE,600080_20240427_0WKP.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20240427_0WKP.pdf,600080,金花股份,20240427,2023,年度,全文
SSE,600080_20240427_IBMB.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20240427_IBMB.pdf,600080,金花股份,20240427,2024,第一季度,全文
SSE,600080_20240427_W39O.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20240427_W39O.pdf,600080,金花股份,20240427,2023,年度,摘要
SSE,600080_20240817_5X5X.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20240817_5X5X.pdf,600080,金花股份,20240817,2024,半年度,全文
SSE,600080_20240817_6AW9.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20240817_6AW9.pdf,600080,金花股份,20240817,2024,半年度,摘要
SSE,600080_20241030_XN72.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20241030_XN72.pdf,600080,金花股份,20241030,2024,第三季度,全文
SSE,600080_20250425_6GSD.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20250425_6GSD.pdf,600080,金花股份,20250425,2025,第一季度,全文
SSE,600080_20250425_LXGH.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20250425_LXGH.pdf,600080,金花股份,20250425,2024,年度,全文
SSE,600080_20250425_P7ID.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20250425_P7ID.pdf,600080,金花股份,20250425,2024,年度,摘要
SSE,600080_20250822_ABVM.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20250822_ABVM.pdf,600080,金花股份,20250822,2025,半年度,摘要
SSE,600080_20250822_ODWZ.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20250822_ODWZ.pdf,600080,金花股份,20250822,2025,半年度,全文
SSE,600080_20251030_IVCB.pdf,正式数据/附件2：财务报告/reports-上交所/600080_20251030_IVCB.pdf,600080,金花股份,20251030,2025,第三季度,全文
SSE,600085_20230328_GGS9.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20230328_GGS9.pdf,600085,同仁堂,20230328,2022,年度,全文
SSE,600085_20230328_KEHR.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20230328_KEHR.pdf,600085,同仁堂,20230328,2022,年度,摘要
SSE,600085_20230429_VQ9H.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20230429_VQ9H.pdf,600085,同仁堂,20230429,2023,第一季度,全文
SSE,600085_20230830_7BHH.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20230830_7BHH.pdf,600085,同仁堂,20230830,2023,半年度,摘要
SSE,600085_20230830_IR3F.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20230830_IR3F.pdf,600085,同仁堂,20230830,2023,半年度,全文
SSE,600085_20231031_FY07.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20231031_FY07.pdf,600085,同仁堂,20231031,2023,第三季度,全文
SSE,600085_20240329_94CA.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20240329_94CA.pdf,600085,同仁堂,20240329,2023,年度,摘要
SSE,600085_20240329_NJ0B.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20240329_NJ0B.pdf,600085,同仁堂,20240329,2023,年度,全文
SSE,600085_20240430_HAVG.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20240430_HAVG.pdf,600085,同仁堂,20240430,2024,第一季度,全文
SSE,600085_20240831_ETW9.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20240831_ETW9.pdf,600085,同仁堂,20240831,2024,半年度,摘要
SSE,600085_20240831_J7JR.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20240831_J7JR.pdf,600085,同仁堂,20240831,2024,半年度,全文
SSE,600085_20241030_L9FD.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20241030_L9FD.pdf,600085,同仁堂,20241030,2024,第三季度,全文
SSE,600085_20250404_9F44.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20250404_9F44.pdf,600085,同仁堂,20250404,2024,年度,摘要
SSE,600085_20250404_K6RE.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20250404_K6RE.pdf,600085,同仁堂,20250404,2024,年度,全文
SSE,600085_20250430_4MZB.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20250430_4MZB.pdf,600085,同仁堂,20250430,2025,第一季度,全文
SSE,600085_20250830_E6JX.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20250830_E6JX.pdf,600085,同仁堂,20250830,2025,半年度,全文
SSE,600085_20250830_JKJ6.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20250830_JKJ6.pdf,600085,同仁堂,20250830,2025,半年度,摘要
SSE,600085_20251031_07MK.pdf,正式数据/附件2：财务报告/reports-上交所/600085_20251031_07MK.pdf,600085,同仁堂,20251031,2025,第三季度,全文
SSE,600129_20230331_BTSP.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20230331_BTSP.pdf,600129,太极集团,20230331,2022,年度,全文
SSE,600129_20230331_LJR3.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20230331_LJR3.pdf,600129,太极集团,20230331,2022,年度,摘要
SSE,600129_20230428_CBJZ.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20230428_CBJZ.pdf,600129,太极集团,20230428,2023,第一季度,全文
SSE,600129_20230825_122K.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20230825_122K.pdf,600129,太极集团,20230825,2023,半年度,全文
SSE,600129_20230825_VR0U.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20230825_VR0U.pdf,600129,太极集团,20230825,2023,半年度,摘要
SSE,600129_20231027_S8AN.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20231027_S8AN.pdf,600129,太极集团,20231027,2023,第三季度,全文
SSE,600129_20240329_18XF.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20240329_18XF.pdf,600129,太极集团,20240329,2023,年度,全文
SSE,600129_20240329_KYNZ.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20240329_KYNZ.pdf,600129,太极集团,20240329,2023,年度,摘要
SSE,600129_20240426_9B08.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20240426_9B08.pdf,600129,太极集团,20240426,2024,第一季度,全文
SSE,600129_20240823_1QDN.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20240823_1QDN.pdf,600129,太极集团,20240823,2024,半年度,全文
SSE,600129_20240823_SJ9S.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20240823_SJ9S.pdf,600129,太极集团,20240823,2024,半年度,摘要
SSE,600129_20241025_NGHU.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20241025_NGHU.pdf,600129,太极集团,20241025,2024,第三季度,全文
SSE,600129_20250329_6WBA.pdf,正式数据/附件2：财务报告/reports-上交所/600129_20250329_6WBA.pdf,600129,太极集团,20250329,2024,年度,摘要
