serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600080,金花股份,43449.462222,12262.102169,2515.061956,14514.049890999999,19728.442047999997,197441.863197,5.573266127301789,1570.2536949999999,33.709932,29065.324841,81.37540490824178,661.0514410000001,0.0,14.720953484925193,48093.579652,168376.538356,2022FY,2022
3,600080,金花股份,53383.757842,10634.788632,2728.429325,10566.722096,19600.436816,202015.42828,2.316411022943328,1833.68108,3.674951,33170.796388,15.251896761523415,230.581172,9900.0,16.419932215288128,48561.673188,168844.631892,2023Q1,2023
5,600080,金花股份,47545.28723,11413.954899,2562.321276,6994.99,20107.183361000003,193919.795194,-1.783850671772585,1318.017571,33.709932,25238.964182,-20.389010998116262,433.519746,0.0,13.015156166367955,48397.872308,168680.83101199998,2023H1,2023
8,600080,金花股份,44058.095602,11331.779362000001,2843.854088,19387.463948,40614.62838,205883.10419,4.275304566275119,1466.457001,33.709932,37167.507148000004,23.5061149380535,155.29761399999998,7640.539044,18.0527233131767,48432.638338,168715.597042,2023Q3,2023
9,600080,金花股份,62044.955212,11394.601873,2624.708722,5682.717463,11083.145859999999,210855.114195,6.793519257168258,928.4769699999999,33.709932,47012.46165,63.983177399256085,71.870823,0.0,22.296097407683746,44438.412777,163842.65254500002,2023FY,2023
12,600080,金花股份,36403.211057,9666.071736,3173.797523,8671.926073999999,13463.667512,181501.320477,-13.92130981980994,1131.52863,0.0,27283.751588,-45.00386908653153,99.713342,2123.8497399999997,15.032260655898325,46834.655491000005,154217.56888900002,2024Q1,2024
13,600080,金花股份,30790.586452,8467.292813,3087.04882,8229.371567,18200.15954,178790.484464,-15.2069490244123,742.687446,0.0,28951.533242,-39.380628853996605,829.4219559999999,4262.333283,16.192994458734454,45384.702156,149838.951222,2024H1,2024
16,600080,金花股份,26091.557513,10704.555074,2917.300688,9380.923582,25404.458625,185977.965133,-11.798219434693664,882.618477,0.0,34008.286762,-28.03162748373582,61.308401,4262.333283,18.286191451594476,47515.429305,151969.67837100002,2024Q3,2024
17,600080,金花股份,16771.103280000003,11054.92765,3489.929119,9727.080924,41464.021363,199184.514512,1.0027011992201207,635.7206,0.0,43114.788141000005,6.845358335014934,66.527008,7946.943762000001,21.645652648565974,51332.109125999996,156069.726371,2025Q1,2025
19,600080,金花股份,34768.097731,11302.044047,3190.14552,2502.144588,37369.070738999995,197207.11639100002,-6.472689958744961,781.883682,0.0,41258.740560000006,-17.85852548849169,97.38180799999999,3455.661307,20.921527232413272,51210.578539,155948.37583099998,2024FY,2024
21,600080,金花股份,17823.294938,11537.466775,3229.756688,900.1559869999999,45694.481572000004,192962.095656,-2.1525697513792954,492.5892,,37453.534579,-10.674599226886901,31.314916999999998,3455.661307,19.40978846217014,50771.941573000004,155508.561077,2025H1,2025
23,600080,金花股份,23546.738144,11438.916399,2805.614427,11165.715887,47426.091973,195675.16216500002,-0.776825022360053,796.603924,0.0,37361.184820999995,-11.5167180297431,39.30168,6230.300724000001,19.093473288907134,53600.564816000006,158313.977344,2025Q3,2025
25,600085,同仁堂,1162398.643344,130114.84347200001,669436.842837,42.858404,3621.412092,2704449.18895,7.863715845052903,344728.603101,0.0,859042.3576469999,0.5274786521722722,62457.264925999996,30953.2,31.764041312254136,726243.354828,1845406.831303,2022FY,2022
27,600085,同仁堂,1257187.37186,162779.81971500002,640078.217929,41.10584,10767.818668,2791433.758153,3.179605302229456,354544.534584,0.0,868920.4417950001,0.8429122630435146,65104.653577,29974.1,31.12810537800246,778900.8028760001,1922513.3163580003,2023Q1,2023
29,600085,同仁堂,1162398.643344,130114.84347200001,669436.842837,42.858404,13602.349068000001,2704449.18895,-0.03560032159609188,344728.603101,0.0,859042.3576469999,0.0,62457.264925999996,30953.2,31.764041312254136,726243.354828,1845406.831303,2023H1,2023
31,600085,同仁堂,1285184.450189,163411.992774,758609.5986050001,37.441388,9953.956617,2951223.7252720003,9.085912657881568,410355.45835900004,0.0,959445.359108,11.617106114785628,63185.950138,10560.0,32.510085592361264,821747.422816,1991778.366164,2023Q3,2023
33,600085,同仁堂,1162398.643344,130114.84347200001,669436.842837,42.858404,13602.349068000001,2704449.18895,-0.03560032159609188,344728.603101,0.0,859042.3576469999,0.0,62457.264925999996,30953.2,31.764041312254136,726243.354828,1845406.831303,2023FY,2023
35,600085,同仁堂,1234660.462059,169562.341392,959968.822742,41.976711,17523.409741,3125302.67625,3.8670583626858392,388254.712994,647.2053,999122.1785159999,-9.644144299076293,57062.26934199999,9927.475,31.968813328340744,894658.031043,2126180.497734,2024Q1,2024
37,600085,同仁堂,1145500.703674,146188.756427,255765.201731,38.312259000000005,21142.253563,3132609.78504,4.109904567925741,386490.971766,-647.2053,1042403.927817,1.7806428282998368,51082.260469,9945.959897,33.27589452076265,870593.365731,2090205.857223,2024H1,2024
39,600085,同仁堂,1094138.3581450002,159012.82439300002,1079283.445426,40.224146999999995,24283.101304,3123881.8228450003,3.81983738000681,366744.52061300003,-647.2053,1073203.10816,17.36839763201757,47229.168992,13140.734539000001,34.354792179129426,834929.185754,2050678.7146849998,2024Q3,2024
41,600085,同仁堂,1075623.697385,132147.37973299998,310480.74848,44.382462,6179.181206,3119752.401977,3.682599216945003,377431.666271,647.2053,1029652.3087940001,6.08701398906106,31399.781650999998,18772.102986,33.00429573005554,838617.595007,2090100.093183,2024FY,2024
43,600085,同仁堂,1137746.482716,177223.502511,1086561.641383,40.399361999999996,32809.229692,3231170.039106,3.5713615304341,389137.665878,,1055048.893948,-5.081522668168016,28402.110406,12104.0505,32.65222446293512,896838.3120350001,2176121.1451580003,2025Q1,2025
45,600085,同仁堂,1125270.0451719998,146799.308338,334609.56025100005,10037.212882,33951.381984,3194666.310348,2.4012773681503328,360946.03074,0.0,1076742.661108,-2.1727433903547615,45943.673508,11900.0,33.704385889076114,864593.9699700001,2117923.64924,2025H1,2025
47,600085,同仁堂,1091000.974934,158349.984031,1112490.3777649999,16039.284094,35987.357975,3181904.968438,1.992227537724269,347638.829561,0.0,1036475.8909459999,-6.578959776704961,42483.524221,13000.0,32.57406808899157,887799.666437,2145429.0774919996,2025Q3,2025
49,600129,太极集团,235684.37458099998,199161.855794,72.048379,25524.475,73950.391547,1470719.7661950001,11.67176601164647,159399.576258,30262.278339999997,1177995.321821,16.00757587433645,137387.55212100002,337184.38190700003,80.096517970155,30870.656601,292724.44437399996,2022FY,2022
52,600129,太极集团,175876.767248,263716.202374,228032.188177,24237.1542,88374.587178,1463900.651061,-1.727402803304692,166602.90065999998,36232.150152999995,1147676.412454,-6.14074892909394,51264.740466,306596.8,78.3985177971054,54203.24944400001,316224.23860700004,2023Q1,2023
53,600129,太极集团,127336.60666500001,275764.365487,238623.87662800003,23789.972,93261.880472,1462749.791201,-1.8046607697996524,200263.876888,37327.848927,1113028.971466,-9.086663258692841,33059.378641,309120.8,76.09154881862197,87241.396919,349720.81973499997,2023H1,2023
56,600129,太极集团,101585.377223,270500.260833,269759.234043,17210.775,103483.565431,1428196.583955,-4.1242399127415155,176253.421136,41836.075006,1058849.576465,-13.950120224816317,24787.914438,311650.0,74.13892375605644,106516.880443,369347.00749,2023Q3,2023
57,600129,太极集团,193500.885717,197805.776316,269063.247471,16586.55,73109.926038,1441177.408352,-3.4362584975482946,149134.555997,28848.425258,1066593.2484040002,-10.145139021000258,51626.786839,328409.14514499996,74.00846295694156,88690.22222000001,374584.159948,2023FY,2023
59,600129,太极集团,145769.75048800002,263719.63407,298849.334338,15605.625,86583.47604600001,1537228.6773549998,6.664777594094777,198775.855646,28571.449944,1138176.19887,8.192448834757787,31350.487639,329691.0,74.0407862302165,113374.08563800002,399052.47848499997,2024Q1,2024
61,600129,太极集团,93822.80163999999,277352.394196,308917.840456,14000.475,97238.730595,1474906.307581,2.3403710766996695,177500.260895,31024.847598,1067200.591729,1.6982410710441889,22164.378632,348857.666666,72.35717863864316,121444.752674,407705.715852,2024H1,2024
63,600129,太极集团,68987.789351,275664.022888,296933.890641,15219.2,110262.90016300001,1433426.137281,-0.5378429488333207,131644.005584,30620.821313,1020771.364774,-3.5371025888220475,19705.675424,401578.71431999997,71.21199608584327,126490.971799,412654.772507,2024Q3,2024
65,600129,太极集团,81162.321666,208955.154183,42.023044,14149.1,702.047922,1405775.9232639999,-2.4564279791536565,132451.268825,30475.488702999995,1042431.4127,-2.01882264603943,27665.438516000002,440505.16604399995,74.15345471841852,70325.813037,363344.510564,2024FY,2024
67,600129,太极集团,64524.142076,261904.91825900003,250714.544027,13168.175,99602.82661599999,1418788.634244,0.9256603961310315,153076.502952,30272.078769,1048125.4404950001,0.7930309738402604,24998.513306,468968.37118599995,73.87467133562798,77780.217238,370663.19374899997,2025Q1,2025
69,600129,太极集团,67329.654379,284712.236397,6838.609684,13049.275,98141.671401,1422025.367936,1.1559057459364765,176620.567495,30097.643773000003,1044563.3339780001,-0.05582334268626725,27991.055395999996,471747.04986400006,73.45602670183953,84205.544603,377462.033958,2025H1,2025
71,600129,太极集团,57765.358484000004,289701.69892399997,221865.21579499997,12254.4588,102686.88885,1422225.3668620002,1.170132687989648,176798.681548,29878.78038,1054744.553029,0.20331871321811498,16470.166427,466812.756035,74.16156240808654,86916.34370900001,367480.81383299996,2025Q3,2025
73,600222,太龙药业,31138.378324,70929.405562,9259.138477,6352.186,310.6,360018.41299499996,-4.851990487580233,43889.251706999996,0.0,198609.96891300002,4.628274087468031,8825.984817,40486.745532,55.16661419085761,18660.995183000003,161408.444082,2022FY,2022
75,600222,太龙药业,24846.211196,74473.558199,43323.03083,3023.5533219999998,3178.5326809999997,357251.26469499996,-0.7686129931466676,45519.788697,0.0,197592.230114,10.494906074451675,2471.602504,45283.613056,55.30903586378976,20178.378837,159659.03458099999,2023Q1,2023
77,600222,太龙药业,19615.064849000002,72735.12138200001,10339.843651000001,2790.476,3216.281305,339536.710176,-5.689070914071386,44102.591567,0.0,193739.811942,4.208605145637425,1945.9993920000002,45484.40175,57.06004862966785,14827.815508000002,145796.898234,2023H1,2023
80,600222,太龙药业,18154.601958000003,70430.324564,45215.638732,6257.898,3601.1459630000004,333932.30652,-7.245770086587841,40282.080424,0.0,184735.175537,-0.27076150173129254,2391.604289,40681.873992,55.32114501354357,16968.360007,149197.13098299998,2023Q3,2023
81,600222,太龙药业,19666.601569,73963.72417999999,10157.250584000001,2675.31,2889.882681,357685.492521,-0.8247321175162834,43028.610087,0.0,195346.640819,-4.396175629141549,1162.3980900000001,38183.829341000004,54.61407993994363,23010.507557,162338.85170199999,2023FY,2023
83,600222,太龙药业,28493.628383,78762.142551,45931.685218,2790.45,2889.882681,365292.192838,2.126644909019743,37651.091899,0.0,201900.26157,5.176040407893036,738.834476,49230.621001,55.27089423987193,25136.371490999998,163391.93126800001,2024Q1,2024
85,600222,太龙药业,32539.267076,81416.97941100001,11714.588351,2302.63,2918.024274,360851.929207,0.8852572307819072,31931.850068,0.0,200855.487735,15.454553200328448,366.428019,53666.13104,55.66146983789042,24673.901895,159996.441472,2024H1,2024
